name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
actasrv-client-3.5.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",-,-,-,Java,-,-,-
actasrv-client13-3.5.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",-,-,-,Java,-,-,-
activation-1.0.2.jar,"CDDL-1.0",-,-,-,Java,-,-,-
activation-1.1.1.redhat-4.jar,"CDDL-1.0",Redhat,-,-,Java,-,-,-
aopalliance-1.0.0.jar,"Public Domain",-,-,-,Java,-,-,-
asm-3.3.1.jar,"BSD-3-Clause",-,-,-,Java,-,-,-
axis-jaxrpc-1.4.jar,"Apache-2.0",-,-,-,Java,-,-,-
bsh-2.0b4.jar,"Apache-2.0",-,-,-,Java,-,-,-
captcha-simplecaptcha-1.1.1.jar,"LGPL-2.1",-,-,-,Java,-,-,-
cglib-2.2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-beanutils-bean-collections-1.8.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-beanutils-core-1.8.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-codec-1.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-collections-3.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-dbcp-1.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-digester-1.8.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-discovery-0.2.jar,"Apache-1.1","This product includes software developed by the Apache Software Foundation (http://www.apache.org/).",-,-,Java,-,-,-
commons-fileupload-1.3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-io-2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang-2.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang3-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-1.1.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-api-1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-pool-1.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
csi-apachesoap-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-core-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-weblogic-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-rmi-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-stadapter-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-tools-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,http://opensource.org/licenses/BSD-3-Clause
csiui-csiuicore-1.4.1.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",-,-,-,Java,-,-,-
custom-component-3.0.1.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",-,-,-,Java,-,-,-
cxf-2.4.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
displaytag-1.2.jar,"Artistic-2.0",-,-,-,Java,-,-,-
displaytag-export-poi-1.2.jar,"Artistic-2.0",-,-,-,Java,-,-,-
